ListingNumber,Term,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,ProsperScore,ListingCategory,BorrowerState,Occupation,EmploymentStatus,AmountDelinquent,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,LoanOriginalAmount,LoanOriginationDate
909464,36,Current,0.24614,0.2085,0.1985,4,Home Improvement,MN,Executive,Employed,0,1,11,11,0,0.0,11000.0,15000,2013
841846,60,Current,0.30748,0.2809,0.2709,4,Auto,CA,Professional,Full-time,2469,3,67,67,0,0.0,10700.0,4000,2013
875565,60,Current,0.24754,0.2225,0.2125,8,Debt Consolidation,OR,Laborer,Employed,0,1,12,12,0,0.0,8000.0,6500,2013
478891,36,Completed,0.08191,0.0785,0.0685,10,Other,IL,Other,Employed,0,1,8,8,0,0.0,4000.0,16000,2010
765126,36,Current,0.15833,0.1299,0.1199,8,Debt Consolidation,CO,Professional,Employed,0,3,20,20,0,0.0,27000.0,15000,2013
629058,60,Current,0.20931,0.1852,0.1752,5,Home Improvement,WI,Executive,Employed,0,1,9,8,1,0.0,8000.0,18000,2012
847219,60,Current,0.17522,0.1519,0.1419,6,Debt Consolidation,IL,Clergy,Employed,0,1,1,1,0,0.0,15000.0,8000,2013
1053659,36,Current,0.16324,0.1274,0.1174,8,Vacation,DE,Analyst,Employed,72705,2,4,4,0,0.0,19000.0,2000,2013
499401,12,Completed,0.35843,0.2669,0.2569,3,Debt Consolidation,CA,Professional,Employed,0,1,12,12,0,0.0,6000.0,3000,2011
1162592,60,Current,0.13636,0.1139,0.1039,11,Debt Consolidation,IL,Investor,Self-employed,0,3,16,16,0,0.0,7861.0,9000,2014
494156,36,Completed,0.13109,0.1099,0.0999,8,Auto,VA,Analyst,Full-time,0,1,6,6,0,0.0,7500.0,5600,2011
843206,36,Past Due (16-30 days),0.33286,0.2932,0.2832,2,Other,NY,Other,Employed,0,1,9,6,3,0.0,3000.0,4000,2013
594208,36,Completed,0.33973,0.2999,0.2899,3,Debt Consolidation,GA,Professional,Employed,0,1,10,10,0,0.0,4000.0,4000,2012
660557,36,Current,0.23121,0.1939,0.1839,6,Other,GA,Sales - Retail,Employed,0,1,32,32,0,0.0,2000.0,2000,2012
